text,safe,prev_maint,fuel_econ,money,value,appear,comf_conv,kid_safety,pet_safety,locks_security_car
"Owner's Manual Tip See your vehicle's owner's manual for regular maintenance schedules, recommended fluids, and proper settings.",1,1,1,1,1,0,0,0,0,0
Automotive Care Tip One more reason to relax when driving:  Aggressive driving tends to wear things out faster.,0,1,0,1,1,0,1,0,0,0
"Transmission Fluid Tip Healthy transmission fluid will be pink and smell sweet, while bad transmission fluid will be red or brown, and smell burnt.",0,1,0,1,1,0,0,0,0,0
Automotive Battery Tip Even 'maintenance-free' automotive batteries should be regularly checked for leaks and deposits on the contacts.,0,1,0,0,1,0,0,0,0,0
"Automotive Care Tip Rubber gaskets and hoses, windshield wiper blades, and tires wear out at irregular intervals, so they should be frequently checked.",1,1,0,0,1,0,0,0,0,0
Automotive Care Tip Know how to check fluid levels:  window-washer; oil; coolant; brakes; power steering; and transmission fluid.,1,1,0,0,1,0,0,0,0,0
Preventative Care Tip Getting a pre-vacation checkup can help avoid roadside breakdowns or needing repairs in a strange city.,1,1,0,0,0,0,1,0,0,0
Radiator Coolant Tip Regularly measure the coolant concentration in your radiator. A high water percentage increases the risk of cooling system corrosion.,0,1,0,1,1,0,0,0,0,0
Allergy Tip A clogged cabin air filter can blow allergens into your car. So be sure to replace your cabin air filter often.,0,0,0,0,0,0,1,0,0,0
Safety Recall Tip NHTSA (nhtsa.gov/recalls) lets you enter your Vehicle Identification Number (VIN) to learn if a vehicle has a critical safety issue.,1,1,0,0,0,0,0,0,0,0
Tire Safety Tip Know your tire's age.  Some manufacturers recommend that tires be replaced every six years regardless of use.,1,0,0,0,1,0,0,0,0,0
"Braking Tip If your car has anti-lock brakes, apply firm pressure and do not pump the brakes when hard stopping.  Pedal 'chattering' is normal.",1,0,0,0,0,0,0,0,0,0
Tire Care & Safety Tip Ensure your wheels are properly aligned. Mal-aligned wheels cause premature tire wear and can affect proper steering and control.,1,0,1,1,1,0,0,0,0,0
"Older Car Tip If you drive an older car with an 'interference' type engine, avoid risk of engine damage by replacing your timing belt at 100k miles.",0,1,0,1,1,0,0,0,0,0
"Older Car Tip For an older car, your top maintenance priorities should be systems that enable driving control: braking; steering; and tires.",1,1,0,0,1,0,0,0,0,0
Motor Oil Tip Keeping records of your oil changes can payoff nicely when it comes time to sell your vehicle.  How are you keeping your records?,0,0,0,0,1,0,0,0,0,0
